infrared_value,mq2_value,humidity,temperature,label
1,191,-1.0,-1.0,1
1,191,-1.0,-1.0,1
1,191,-1.0,-1.0,1
1,191,-1.0,-1.0,1
1,191,-1.0,-1.0,1
1,190,-1.0,-1.0,1
1,190,-1.0,-1.0,1
1,191,-1.0,-1.0,1
1,191,-1.0,-1.0,1
1,191,-1.0,-1.0,1
1,191,-1.0,-1.0,1
1,190,-1.0,-1.0,1
1,191,-1.0,-1.0,1
1,192,-1.0,-1.0,1
1,191,-1.0,-1.0,1
1,191,-1.0,-1.0,1
1,191,-1.0,-1.0,1
1,191,-1.0,-1.0,1
1,185,-1.0,-1.0,1
1,185,73.0,27.6,1
1,184,73.0,27.6,1
1,184,73.0,27.6,1
1,182,73.0,27.6,1
0,193,73.0,27.6,1
1,192,73.0,27.6,1
1,190,73.0,27.6,1
1,191,73.0,27.6,1
0,192,73.0,27.1,1
0,192,73.0,27.1,1
1,195,73.0,27.1,1
1,189,73.0,27.1,1
1,190,-1.0,-1.0,1
1,191,-1.0,-1.0,1
1,190,-1.0,-1.0,1
0,191,-1.0,-1.0,1
1,193,-1.0,-1.0,1
1,191,-1.0,-1.0,1
1,192,-1.0,-1.0,1
0,192,-1.0,-1.0,1
0,199,73.0,27.1,1
0,197,73.0,27.1,1
1,193,73.0,27.1,1
1,192,73.0,27.1,1
1,193,73.0,27.1,1
1,193,73.0,27.1,1
1,193,73.0,27.1,1
1,193,73.0,27.1,1
1,194,73.0,26.7,1
1,194,73.0,26.7,1
1,195,73.0,26.7,1
1,195,73.0,26.7,1
1,195,73.0,26.7,1
1,195,73.0,26.7,1
1,195,73.0,26.7,1
1,196,73.0,26.7,1
1,195,73.0,26.7,1
1,195,73.0,26.7,1
1,195,73.0,26.7,1
1,196,73.0,26.7,1
0,196,73.0,26.7,1
1,197,73.0,26.7,1
1,195,73.0,26.7,1
1,195,73.0,26.7,1
1,195,73.0,26.7,1
1,196,73.0,26.7,1
1,196,73.0,26.7,1
1,196,73.0,26.7,1
1,196,73.0,26.7,1
1,197,73.0,26.7,1
1,196,73.0,26.7,1
1,196,73.0,26.7,1
1,197,74.0,26.2,1
1,196,74.0,26.2,1
1,196,74.0,26.2,1
1,197,74.0,26.2,1
1,197,74.0,26.2,1
1,196,74.0,26.2,1
1,196,74.0,26.2,1
1,197,74.0,26.2,1
1,197,75.0,26.2,1
1,196,75.0,26.2,1
1,197,75.0,26.2,1
1,197,75.0,26.2,1
0,196,75.0,26.2,1
0,199,75.0,26.2,1
0,198,75.0,26.2,1
1,199,75.0,26.2,1
1,194,76.0,26.2,1
1,194,76.0,26.2,1
1,197,76.0,26.2,1
1,198,76.0,26.2,1
1,197,76.0,26.2,1
1,198,76.0,26.2,1
1,198,76.0,26.2,1
1,198,76.0,26.2,1
